                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1374,                 5.2377,                 2.3353,                 1.8804,                 6.7845,                 2.0405,                      0,                      0,                      0,                      0,                 3.0753,                 6.1461,                 3.5794,                 2.5506,                 9.1602,                 3.1673,                      0,                      0,                      0
                      2,                  2.136,                 5.0164,                 2.4771,                 1.8108,                 5.9443,                   2.05,                      0,                      0,                      0,                      0,                 2.9881,                 6.0732,                 3.4929,                 2.5313,                 9.1431,                 3.1204,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 2.5353,                 5.4476,                 2.6242,                 2.0178,                 7.1772,                 2.0295,                      0,                      0,                      0,                      0,                 2.9396,                 6.0979,                 3.4773,                 2.5284,                 9.1523,                 3.1056,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 2.3199,                 5.0555,                 2.4745,                  1.845,                 6.7164,                 2.2389,                      0,                      0,                      0,                      0,                  2.932,                 6.1062,                 3.4511,                 2.5083,                 9.1389,                 3.0513,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                  2.426,                 5.1845,                 2.7522,                 2.0859,                 7.0182,                 2.1616,                      0,                      0,                      0,                      0,                 2.9197,                 6.0817,                 3.4741,                 2.5089,                 9.0999,                 3.0252,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                  2.529,                 5.4104,                 2.7783,                 2.1509,                 7.0004,                 2.3661,                      0,                      0,                      0,                      0,                 2.9042,                 6.0623,                 3.4529,                 2.4435,                 9.0269,                 2.9891,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 2.0843,                 5.1528,                 2.3339,                 1.6203,                 6.6771,                 2.0551,                      0,                      0,                      0,                      0,                 2.8864,                 6.0206,                 3.4238,                 2.4356,                 9.0117,                 2.9854,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 2.6332,                 5.1453,                 3.2836,                 2.0384,                 6.8862,                 2.5992,                      0,                      0,                      0,                      0,                 2.8687,                 6.0136,                  3.424,                 2.5045,                 9.0371,                 2.9446,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.9724,                 5.0216,                  2.312,                 1.9128,                 6.8076,                 2.1946,                      0,                      0,                      0,                      0,                 2.8707,                 5.9871,                 3.4347,                  2.516,                   9.04,                 2.9525,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.9708,                 5.0646,                  2.157,                 1.7291,                 6.2916,                 1.8428,                      0,                      0,                      0,                      0,                   2.79,                 5.9828,                 3.3583,                 2.5514,                 9.0557,                 2.9644,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 2.0558,                 5.0993,                 2.3984,                 1.8092,                 6.1252,                 2.0304,                      0,                      0,                      0,                      0,                 2.7717,                 5.9897,                 3.3185,                 2.5135,                 9.0182,                  2.978,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 2.4984,                 5.1392,                 2.7249,                 2.2759,                 6.4414,                 2.4481,                      0,                      0,                      0,                      0,                 2.7711,                 6.0185,                 3.3022,                 2.4981,                 8.9845,                 2.9433,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 2.4321,                 5.1856,                 2.8312,                 2.0038,                  6.516,                 2.3507,                      0,                      0,                      0,                      0,                 2.7014,                 5.9733,                 3.2931,                    2.5,                  8.929,                 2.9326,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                  2.364,                 5.2612,                 2.6633,                 1.8062,                 7.4793,                 2.0929,                      0,                      0,                      0,                      0,                 2.6781,                 5.9566,                 3.2518,                  2.507,                 8.9296,                 2.9286,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 2.0057,                 5.0403,                 2.4387,                 1.7783,                 5.9499,                 2.1905,                      0,                      0,                      0,                      0,                 2.6917,                 5.9665,                  3.257,                 2.4864,                 8.9388,                 2.9344,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 2.0714,                 4.9511,                 2.0253,                 2.1676,                 5.8185,                 1.9995,                      0,                      0,                      0,                      0,                  2.701,                 5.9694,                  3.248,                 2.4653,                 8.9261,                 2.9662,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 2.1408,                 5.0598,                 2.4991,                 1.9439,                 6.4615,                 2.1707,                      0,                      0,                      0,                      0,                 2.6871,                 5.9856,                 3.2407,                 2.3888,                 8.8906,                 2.9918,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 1.6923,                 5.0986,                 1.8281,                 1.4601,                 7.1657,                  1.596,                      0,                      0,                      0,                      0,                 2.6871,                 5.9856,                 3.2407,                 2.3888,                 8.8906,                 2.9918,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 2.4525,                 5.0715,                 2.5489,                 2.1149,                 6.1387,                  2.148,                      0,                      0,                      0,                      0,                 2.7013,                 5.9513,                 3.2109,                 2.3992,                 8.9223,                 2.9839,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                  2.157,                 5.0655,                 2.3929,                 2.1164,                 6.4865,                 2.1613,                      0,                      0,                      0,                      0,                 2.7013,                 5.9513,                 3.2109,                 2.3992,                 8.9223,                 2.9839,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 2.2053,                 5.0309,                 2.4123,                 2.0209,                 6.3832,                 2.0635,                      0,                      0,                      0,                      0,                  2.693,                 5.9458,                  3.081,                 2.3926,                 8.8854,                 2.8351,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 2.3319,                 5.1593,                 2.3441,                 2.1164,                 5.9057,                 1.9823,                      0,                      0,                      0,                      0,                  2.693,                 5.9458,                  3.081,                 2.3926,                 8.8854,                 2.8351,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                 2.6415,                 5.2736,                 2.8657,                 2.0653,                 6.9297,                 2.2134,                      0,                      0,                      0,                      0,                 2.6483,                 6.0391,                 3.1495,                 2.3712,                 8.8557,                 2.9049,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                 2.6251,                 5.2191,                 2.9461,                 2.3977,                  6.263,                 2.4522,                      0,                      0,                      0,                      0,                 2.6483,                 6.0391,                 3.1495,                 2.3712,                 8.8557,                 2.9049,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                  2.101,                  5.532,                 2.5765,                 2.0668,                 8.6058,                 2.2367,                      0,                      0,                      0,                      0,                 2.7029,                 6.0379,                 3.1463,                 2.3656,                 8.8564,                 2.7471,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                  2.194,                 5.0339,                 2.3635,                  2.117,                 6.0148,                 1.9779,                      0,                      0,                      0,                      0,                 2.7029,                 6.0379,                 3.1463,                 2.3656,                 8.8564,                 2.7471,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                 2.3779,                 5.0408,                 2.5936,                 2.2088,                 6.5288,                 2.2467,                      0,                      0,                      0,                      0,                 2.6062,                 6.0024,                 3.0124,                 2.3302,                 8.8551,                 2.7315,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                 2.1623,                 4.9388,                 2.1431,                 1.8907,                 6.1116,                 1.8284,                      0,                      0,                      0,                      0,                 2.6062,                 6.0024,                 3.0124,                 2.3302,                 8.8551,                 2.7315,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                 2.3272,                 5.2026,                 2.4262,                 1.9699,                 6.3772,                 1.9492,                      0,                      0,                      0,                      0,                 2.5814,                 5.9594,                  2.989,                 2.3825,                 8.8861,                 2.7391,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                 2.2849,                 5.0052,                 2.5066,                 2.2341,                  6.286,                 2.1715,                      0,                      0,                      0,                      0,                 2.5814,                 5.9594,                  2.989,                 2.3825,                 8.8861,                 2.7391,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                 2.8408,                 5.3514,                 3.2861,                 2.1139,                 6.5088,                  2.611,                      0,                      0,                      0,                      0,                 2.5883,                  5.925,                 3.0064,                 2.3697,                 8.8652,                 2.6804,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                 2.2179,                 5.1608,                 2.4424,                 1.8694,                 6.6992,                 2.1498,                      0,                      0,                      0,                      0,                 2.5883,                  5.925,                 3.0064,                 2.3697,                 8.8652,                 2.6804,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 2.6029,                 5.2722,                 2.7869,                 2.1093,                 6.4385,                 2.3041,                      0,                      0,                      0,                      0,                 2.6732,                 5.9463,                 3.0058,                   2.39,                 8.8827,                 2.7051,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 2.2666,                 5.0381,                 2.5058,                 1.8242,                 6.0646,                 2.0076,                      0,                      0,                      0,                      0,                 2.6732,                 5.9463,                 3.0058,                   2.39,                 8.8827,                 2.7051,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                 2.4979,                 5.2755,                 2.7176,                 1.9226,                 6.5777,                 2.2185,                      0,                      0,                      0,                      0,                 2.7453,                 5.9936,                 3.0641,                 2.3963,                 8.8801,                 2.7394,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 2.5854,                 5.1199,                 2.7931,                 2.2442,                  6.204,                  2.428,                      0,                      0,                      0,                      0,                 2.7453,                 5.9936,                 3.0641,                 2.3963,                 8.8801,                 2.7394,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 1.9851,                 5.1199,                 2.3275,                 1.8686,                 6.1623,                 1.8066,                      0,                      0,                      0,                      0,                 2.8042,                 6.0362,                 3.1341,                 2.3381,                 8.8275,                 2.8548,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 2.0792,                 5.0825,                   2.05,                 1.6717,                  6.127,                 1.8892,                      0,                      0,                      0,                      0,                 2.8042,                 6.0362,                 3.1341,                 2.3381,                 8.8275,                 2.8548,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 1.9483,                 5.0104,                 2.0082,                 1.8021,                 6.3373,                 1.8594,                      0,                      0,                      0,                      0,                  2.827,                 6.0489,                 3.1737,                 2.3127,                 8.7878,                 2.9099,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 2.3626,                 5.2019,                 2.4954,                 2.0475,                 7.0608,                  2.357,                      0,                      0,                      0,                      0,                  2.827,                 6.0489,                 3.1737,                 2.3127,                 8.7878,                 2.9099,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 2.3446,                   5.14,                 2.4245,                 1.9009,                 6.2931,                 1.8951,                      0,                      0,                      0,                      0,                 2.8953,                 6.0483,                 3.2387,                 2.2987,                 8.8022,                 2.7963,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 2.1932,                 5.0317,                 2.3018,                 1.9316,                 6.1057,                 1.9943,                      0,                      0,                      0,                      0,                 2.8953,                 6.0483,                 3.2387,                 2.2987,                 8.8022,                 2.7963,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 2.0172,                 4.9893,                 2.4006,                 1.8767,                 6.5796,                 2.0496,                      0,                      0,                      0,                      0,                  2.935,                 6.0962,                 3.2891,                 2.3119,                 8.8022,                 2.7509,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                  2.451,                 5.3042,                 2.7802,                 2.1255,                 6.8458,                 2.3407,                      0,                      0,                      0,                      0,                  2.935,                 6.0962,                 3.2891,                 2.3119,                 8.8022,                 2.7509,             2.9387e-05,             2.9387e-05,             2.9387e-05
