                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5412,                 3.0339,                 1.4469,                  1.434,                 3.4175,                 1.3405,                0.01897,                0.48483,                0.10831,                0.06867,                 1.1546,                 3.3461,                 1.1912,                 1.0326,                  3.806,                 1.1075,             0.00036059,             0.00036059,             0.00036059
                      2,                  1.331,                 1.5881,                 1.3251,                 1.2516,                 2.3071,                 1.2148,                 0.0288,                0.67732,                0.25851,                0.16604,                 1.2079,                 2.4248,                 1.2926,                 1.0735,                  3.223,                  1.155,              0.0007273,              0.0007273,              0.0007273
                      3,                 1.2532,                  1.371,                 1.2735,                 1.2424,                 2.0469,                 1.2057,                0.33274,                0.26548,                0.26217,                0.14254,                 1.3835,                 1.9955,                 1.4768,                 1.2918,                 2.7062,                 1.3305,              0.0010904,              0.0010904,              0.0010904
                      4,                 1.2245,                 1.3123,                 1.2452,                 1.2439,                 1.8723,                 1.1965,                0.39666,                0.39356,                0.34728,                0.20687,                  1.255,                 1.5924,                 1.3167,                  1.212,                 2.1389,                 1.2431,              0.0010945,              0.0010945,              0.0010945
                      5,                 1.2031,                  1.248,                 1.2258,                  1.236,                 1.7206,                 1.1892,                0.33972,                0.45221,                0.35208,                0.20045,                 1.2832,                 1.5783,                 1.3341,                 1.2609,                 2.0143,                 1.2768,              0.0010945,              0.0010945,              0.0010945
                      6,                 1.1848,                 1.2149,                 1.2105,                 1.2317,                  1.618,                 1.1853,                0.45848,                0.46675,                0.40524,                0.23446,                 1.2025,                 1.6568,                 1.2719,                 1.1977,                 2.0298,                 1.2314,               0.001089,               0.001089,               0.001089
                      7,                 1.1627,                 1.1749,                 1.1958,                 1.2274,                 1.5227,                 1.1787,                0.43373,                0.45395,                0.38961,                0.22273,                 1.3192,                 1.6408,                 1.3451,                 1.3037,                 1.9015,                 1.2868,              0.0010835,              0.0010835,              0.0010835
                      8,                 1.1499,                 1.1382,                 1.1874,                 1.2206,                 1.4481,                 1.1712,                0.48563,                0.56407,                0.49305,                0.29012,                 1.1395,                 1.3961,                 1.2411,                 1.1728,                 1.7089,                 1.2193,               0.001078,               0.001078,               0.001078
                      9,                 1.1399,                   1.11,                 1.1773,                 1.2172,                 1.4011,                 1.1673,                0.46848,                0.49527,                0.44359,                0.26144,                  1.173,                 1.4959,                 1.2373,                 1.2103,                 1.7856,                 1.2216,              0.0010725,              0.0010725,              0.0010725
                     10,                  1.143,                 1.1141,                 1.1796,                 1.2232,                 1.3919,                 1.1715,                0.49264,                0.53628,                0.49642,                0.29575,                 1.1525,                 1.3575,                 1.2006,                 1.1747,                  1.552,                 1.1806,               0.001067,               0.001067,               0.001067
                     11,                  1.116,                  1.076,                 1.1608,                 1.2026,                 1.3393,                 1.1568,                0.50782,                0.54289,                0.50773,                0.29546,                 1.1626,                 1.3164,                 1.2133,                  1.184,                 1.5267,                 1.1953,              0.0010615,              0.0010615,              0.0010615
                     12,                 1.1161,                  1.062,                 1.1598,                 1.1988,                 1.3155,                 1.1553,                0.51255,                0.56957,                0.52587,                0.31847,                 1.1405,                 1.3018,                  1.211,                 1.1688,                 1.4855,                 1.1857,               0.001056,               0.001056,               0.001056
                     13,                 1.1051,                 1.0502,                 1.1557,                 1.1879,                 1.2932,                 1.1533,                0.50361,                0.48713,                0.45442,                0.26086,                 1.2924,                 1.4112,                 1.2941,                 1.2954,                 1.6311,                 1.2569,              0.0010505,              0.0010505,              0.0010505
                     14,                 1.0964,                 1.0318,                 1.1506,                 1.1861,                 1.2668,                 1.1488,                 0.5193,                0.54863,                 0.5141,                0.30752,                  1.159,                 1.3088,                 1.2227,                 1.1919,                 1.4733,                 1.2017,               0.001045,               0.001045,               0.001045
                     15,                 1.0919,                 1.0221,                 1.1475,                 1.1827,                  1.261,                 1.1477,                0.47427,                0.56489,                0.46622,                0.26434,                 1.2834,                 1.4952,                 1.2994,                 1.3214,                 1.7521,                 1.2679,              0.0010395,              0.0010395,              0.0010395
                     16,                  1.087,                  1.005,                 1.1437,                 1.1764,                 1.2211,                 1.1416,                 0.5015,                0.54148,                0.51123,                0.31782,                  1.111,                 1.2467,                 1.1904,                 1.1491,                 1.4117,                 1.1745,               0.001034,               0.001034,               0.001034
